stage,year,employment_qcew,value_type,forecast_source,applied_yoy_pct,adjustment_source
Downstream,2001,219668.1764984131,QCEW,,,BEA
Downstream,2001,191105.44649841308,QCEW,,,Lightcast
Downstream,2002,216974.7277730306,QCEW,,,BEA
Downstream,2002,188971.9077730306,QCEW,,,Lightcast
Downstream,2003,211645.9299837748,QCEW,,,BEA
Downstream,2003,184271.4999837748,QCEW,,,Lightcast
Downstream,2004,210432.40278879803,QCEW,,,BEA
Downstream,2004,182221.072788798,QCEW,,,Lightcast
Downstream,2005,208775.06699625653,QCEW,,,BEA
Downstream,2005,179507.84699625653,QCEW,,,Lightcast
Downstream,2006,206478.0743687948,QCEW,,,BEA
Downstream,2006,176129.05436879475,QCEW,,,Lightcast
Downstream,2007,204309.68500010172,QCEW,,,BEA
Downstream,2007,172390.66500010173,QCEW,,,Lightcast
Downstream,2008,198611.59295272827,QCEW,,,BEA
Downstream,2008,168120.42295272826,QCEW,,,Lightcast
Downstream,2009,179646.23037465411,QCEW,,,BEA
Downstream,2009,153130.41037465414,QCEW,,,Lightcast
Downstream,2010,180735.81250254312,QCEW,,,BEA
Downstream,2010,153943.96250254312,QCEW,,,Lightcast
Downstream,2011,187714.6108462016,QCEW,,,BEA
Downstream,2011,159061.61084620157,QCEW,,,Lightcast
Downstream,2012,194269.29066594443,QCEW,,,BEA
Downstream,2012,164152.76066594443,QCEW,,,Lightcast
Downstream,2013,200397.9054781596,QCEW,,,BEA
Downstream,2013,168523.8554781596,QCEW,,,Lightcast
Downstream,2014,210050.8872782389,QCEW,,,BEA
Downstream,2014,176073.6872782389,QCEW,,,Lightcast
Downstream,2015,217547.71697362265,QCEW,,,BEA
Downstream,2015,181612.77697362265,QCEW,,,Lightcast
Downstream,2016,220883.18589528403,QCEW,,,BEA
Downstream,2016,184188.455895284,QCEW,,,Lightcast
Downstream,2017,222321.9301846822,QCEW,,,BEA
Downstream,2017,185765.3101846822,QCEW,,,Lightcast
Downstream,2018,226562.07780456543,QCEW,,,BEA
Downstream,2018,189395.94780456545,QCEW,,,Lightcast
Downstream,2019,229051.66566467285,QCEW,,,BEA
Downstream,2019,191198.47566467285,QCEW,,,Lightcast
Downstream,2020,210261.23542785645,QCEW,,,BEA
Downstream,2020,175229.51542785644,QCEW,,,Lightcast
Downstream,2021,218514.6236228943,QCEW,,,BEA
Downstream,2021,181924.6536228943,QCEW,,,Lightcast
Downstream,2022,227476.0,QCEW,,,BEA
Downstream,2022,188989.83,QCEW,,,Lightcast
Downstream,2023,232636.0,QCEW,,,BEA
Downstream,2023,194273.65,QCEW,,,Lightcast
Downstream,2024,231829.0,QCEW,,,BEA
Downstream,2024,195139.18,QCEW,,,Lightcast
Downstream,2025,231986.36199184417,Forecast,BLS,0.0678784758784134,BEA
Downstream,2025,233968.3812131892,Forecast,Moody,0.922827261985878,BEA
Downstream,2025,195271.63750122563,Forecast,BLS,0.0678784758784134,Lightcast
Downstream,2025,196939.97755185567,Forecast,Moody,0.922827261985878,Lightcast
Downstream,2026,232143.83079861003,Forecast,BLS,0.0678784758784134,BEA
Downstream,2026,233091.4361058181,Forecast,Moody,-0.3748135123318358,BEA
Downstream,2026,195404.1849125843,Forecast,BLS,0.0678784758784134,Lightcast
Downstream,2026,196201.819904808,Forecast,Moody,-0.3748135123318358,Lightcast
Downstream,2027,232301.40649280188,Forecast,BLS,0.0678784758784134,BEA
Downstream,2027,231896.91729983443,Forecast,Moody,-0.5124679078477147,BEA
Downstream,2027,195536.8222951056,Forecast,BLS,0.0678784758784134,Lightcast
Downstream,2027,195196.3485431827,Forecast,Moody,-0.5124679078477147,Lightcast
Downstream,2028,232459.0891469733,Forecast,BLS,0.0678784758784134,BEA
Downstream,2028,231145.50223695132,Forecast,Moody,-0.3240297765198482,BEA
Downstream,2028,195669.54970986056,Forecast,BLS,0.0678784758784134,Lightcast
Downstream,2028,194563.85425122333,Forecast,Moody,-0.3240297765198482,Lightcast
