segment_id,segment_name,year,methodology,projection_method,projection_label,occcd,soctitle,employment,employment_auto,employment_raw,share,share_2024,share_2034,ep_entry_education,ep_work_experience,ep_on_the_job_training,ep_edu_grouped,ep_edu_training_grouped,ep_avg_annual_salary,ep_employment_2024,ep_employment_2034,ep_openings_ratio,empl_2021,ep_openings_annual_avg,openings
1,1. Materials & Processing,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,14.802611666200162,14.802611666200162,50.58102271143604,0.0006966699177929045,0.0006966699177929045,0.0008930669800235,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,90.0,22.2,1.039765793354354
3,3. Forging & Foundries,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,17.00340375874382,17.00340375874382,30.785804020099548,0.0018844221105527054,0.0018844221105527054,0.0011682242990654,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.1943539422373446
4,4. Parts & Machining,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,14.464889109672848,14.464889109672848,48.85047453031166,0.0009684292078249046,0.0009684292078249046,0.0011866418036955,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.0160434685484487
5,5. Component Systems,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,14.902364357699925,14.902364357699925,45.5084007467326,0.002489110143123809,0.002489110143123809,0.0015089163237311,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.0467726269290882
6,6. Engineering & Design,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,1.1737089419951332,1.1737089419951332,136.70982940698283,0.0011372867587327096,0.0011372867587327096,0.003024433343528,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,260.0,22.2,0.08244372255115316
7,7. Core Automotive,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,118.95670103091179,118.95670103091179,118.95670103091179,0.0006872852233676048,0.0006872852233676048,0.0003273322422258,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,60.0,22.2,8.355762578345963
8,"8. Motor Vehicle Parts, Materials, & Products Sales",2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,62.50361271675567,62.50361271675567,62.50361271675567,0.0005419075144508035,0.0005419075144508035,0.0011894576490473,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,110.0,22.2,4.390381908913071
0,0. All Segments,2024,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,243.80729158197934,243.80729158197934,493.89584516323015,0.0005261476479528385,0.0005261476479528385,0.0004966014044468719,Bachelor's degree,5 years or more,,BA+,BA+,206420,,,,520.0,155.4,17.125524040879423
1,1. Materials & Processing,2025,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,14.757488939992898,14.757488939992898,50.50240501619569,0.0007037762802646691,0.0006966699177929045,0.0008930669800235,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,90.0,22.2,1.036596280550047
3,3. Forging & Foundries,2025,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,16.668391285581013,16.668391285581013,30.315424732436284,0.0019077542127104727,0.0018844221105527054,0.0011682242990654,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.1708219792434693
4,4. Parts & Machining,2025,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,14.38220134531035,14.38220134531035,48.627710191008006,0.0009709781869576175,0.0009684292078249046,0.0011866418036955,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.0102353104442012
5,5. Component Systems,2025,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,15.027017149308248,15.027017149308248,45.886825323320934,0.002518476223521403,0.002489110143123809,0.0015089163237311,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,,22.2,1.0555284945883345
6,6. Engineering & Design,2025,sam_mi_moodys_mi,moodys_mi,Moody's MI,11-1011,Chief Executives,1.17686905355719,1.17686905355719,137.5563290344951,0.0011375305458264323,0.0011372867587327096,0.003024433343528,Bachelor's degree,5 years or more,,BA+,BA+,206420,309.4,322.7,0.0702420503084955,260.0,22.2,0.08266569526647562
